"Name","Gender","Junior or Senior Student?","KO Sept 05","KO Sept 06","KO Oct 0","CPSC program","CPSC Major","Year of study","Mentor gender preference","Areas of interest","Interests/hobbies","Co-op status","If not, Interested?","Career plans - IT job?","Career plans - grad school","Career plans - academic job","Career plans - unsure","Career plans - other"
1025,"F","Junior",0,1,0,"BCS",,3,"DNM","BI, Database, Network, Amazon, Facebook, Google, Apple, Microsoft","Arts, Singing, Dancing, Yoga, Running, Graphic design, Economics, Marketing, Social media, Blogging","N","Y","I'd like to continue my graduate study as an engineering or cs student if it's possible. I would also like to explore interesting projects in the industry and see if there is any possibilities for me to work on related project with just BCS degree","Y","Y",,
1026,"M","Junior",1,0,0,"BSC",,0,"DNM","Software development","Indoor activities (video games, reading, programming)","N","Y","Y","Y",,,
1027,"M","Junior",0,1,0,"BSC",,1,"DNM","Software, AI Robotics","High-level competitive saiiling, skiing, creating games","N","Y","Y",,,,
1028,"F","Junior",1,0,0,"BSC",,1,"DNM","programming to animation","video/photo editing, drawing, biking, photography, nail art","N","Y","y","Y",,,
1029,"M","Junior",0,0,1,"BSc","Y",1,"DNM","Cryptography, Networking, Security, Mobile","Programming, Djing, Music Production, Mountain Biking","N","Y",,,,,"Found or work on my own startup in mobile"
1030,"M","Junior",1,0,0,"BA/BSc","Y",1,"DNM","AI, cloud computing, robotics, avionics","coding, literature, philosophy, history, politics, economics, cryptography","N","Y",,"Y",,,
1031,"F","Junior",0,1,0,"BSC",,1,"F","Mobile computing","eleisure sports, flashing custom ROMS/Kernels, eat","N","Y","Y",,,"Y",
1032,"M","Junior",0,1,0,"BSc","Y",1,"DNM","programming, creating software","watching anime","N","N","Y ","Y",,"Y",
1033,"F","Junior",1,0,0,"BSc","Y",0,"DNM","Software engineering","swimming, christianity, teaching","N","Y","Y",,"Y",,
1034,"M","Junior",1,0,0,"BSC",,1,"DNM","Computert graphics, AI, software engineering, user interface","drawing, programming, 3D modeling, video games, mathematics, physics","N","Y","Y",,,,
1035,"M","Junior",1,0,0,"BSc and Statistics",,0,"DNM","Intelligent systems, theory, HCI, data anlaysis","philospohy, contemporary lit, programming, open source technologies",,"Y","Y","Y",,,
1036,"M","Junior",0,1,0,"BSC",,1,"DNM","databases, information retrieval, information sciences, human computer interaction, AI, Networks","Hockey, hiking, brewing beer, reading, games, writing music","N","N",,,,"N",
1037,"M","Junior",1,0,0,"BSC",,1,"DNM","Programming, database organization","tennis, computer games","N","Y","Y",,,"Y",
1038,"M","Junior",,1,,"BSC",,1,"DNM","programming, logic, math/problem solving in general","reading, movies, sports, video games","Y",,"Y","Y",,,
1039,"M","Junior",1,0,0,"BCS",,3,"DNM","Data analysis, machine learning","fitness, gaming, hiking","N","Y","Y",,,,
1040,"M","Junior",1,0,0,"BCS",,3,"DNM","Web/software development, Data mining, Database management, Robotics","Sports, Watching movies, New Technology","N","Y","Y",,,,
1041,"F","Junior",0,1,0,"BSC",,1,"DNM","Computer graphics, computer security, coding, software design/engineering","computer security, researching, medicine (obstetrics and gynecology, pediatrics), sports, music, ","N","Y","Y","Y",,,
1042,"M","Junior",,1,,"BSc","Y",1,"DNM","computer programming, basic computing langauges","sports, story books","N","Y",,,,"Y",
1043,"M","Junior",1,0,0,"BSc","Y",0,"M","Software programming","gaming","Y",,"Y",,,,
1044,"M","Junior",1,0,0,"BUCS",,1,"DNM","mathematics, IT , Java coding, solving business problems using IT solutions","Reading Financial Times, socccer, cricket","N","Y","Y",,,"Y",
1045,"M","Junior",1,0,0,"BSC",,1,"M","Data Mining","Collecting old things, running, swimming, chess","N","Y","Y",,,,
1046,"M","Junior",1,0,0,"BSc","Y",1,"DNM","Programming, algorithmics, software engineering","math, computer science problems from Project Euler","N","N",,,,"Y",
1047,"F","Junior",0,1,0,"BSc","Y",1,"DNM","programming, web making","dancing, art, music , nature, sports, design","N","Y","Y",,,"Y",
1048,"M","Junior",0,1,0,"BCOMM in CS",,1,"DNM","Video editing","video editing, baseball, hanging out","N","N","Y",,,,
1049,"M","Junior",1,0,0,"BSC",,1,"DNM","programming, compiling","piano, tech gadgets","N","Y","Y",,,,
1050,"F","Junior",1,0,0,"BSc","Y",0,"DNM","software engineering/design, human-computer interaction","computer games, reading, academics, travel, outdoors",,,"Y",,,,
1051,"M","Junior",0,0,1,"BCS",,3,"DNM","Object oriented, Artificial intelligence","Art, Air-soft, Gaming","N","Y","Y",,,,
1052,"F","Junior",0,0,1,"BSc",,1,"DNM","0D Animation, Gaames","Anime, Computer games, music, singing","N","N","Y","Y",,"Y",
1053,"F","Junior",1,0,0,"BSC",,1,"F","General CS","Computers, music, reading, traveling","N","Y","Y",,,"Y",
1054,"M","Junior",1,0,0,"COGS ",,0,"DNM","AI, Game Design, Cryptography, 3D Graphics, Bioinformatics","Music, games, reading, creativity, philosophy","N","N","Y","Y","Y","Y",
1055,"M","Junior",1,0,0,"BCOMM in CS",,1,"DNM","Programming","Basketball, video games, mixed martial arts","N","Y",,"Y",,"Y",
1056,"M","Junior",1,0,0,"BCOMM  and CS",,1,"DNM","Software engineering, computer security, web development","badminton, computer games, soccer","N","Y","Y",,,,"work on programming projects"
1057,"M","Junior",0,1,0,"Biology and CS",,0,"DNM","software engineering perhaps Bioinformatics","new technology, magic, skiing, basketball","N","Y","Y","Y",,,
1058,"F","Junior",0,1,0,"BSC",,1,"F","graphics, animation, databases","writing, reading, designing, internet","N","Y","Y","Y",,,
1059,"M","Junior",0,1,0,"BUCS",,1,"DNM","software engineering, design","basketball, technology, ultimate frisbee, investing, travel","N","Y","Y","Y",,,
1060,"M","Junior",0,0,1,"BSC",,1,"DNM","Software engineering, computer graphics","video games, soccer","N","Y","Y","Y",,,
1061,"M","Junior",0,1,0,"BSc","Y",1,"DNM","Sotware Engineering, algorithms, data structures","movies, books, soccer, hockey, history, math","N","Y","Y","Y",,,
1062,"M","Junior",1,0,0,"BSC",,0,"DNM",,"movies, hanging with friends, exercising, computer languages ","N","Y","Y","`Y",,,
1063,"F","Junior",0,1,0,"BCS",,3,"DNM","Computing system, E-commerce","Traveling, Reading, cycling, Fashion blogging","N","Y","Y",,,,
1064,"M","Junior",0,0,1,"BSC",,1,"DNM","creative applications (signal processing, media), language, system, framework design, compilers","music, synthesizers, free improvisation, drumkit playing, cycling, cooking","Y",,"Y","Y",,,
1065,"M","Junior",0,1,0,"BCS",,3,"DNM","Software engineering, HCI, Artificial intelligence","Skiing, Reaching, Investing, Cycling, Language learning/ Travelling","N","Y","Y","Y",,,
1066,"M","Junior",1,0,0,"BA in CS",,0,"DNM","Programming",,"N","Y","Y",,,,
1067,"M","Junior",0,1,0,"BSC",,1,"DNM","Software engineering","music, analyzing problems, dancing, programming","N","Y","Y","Y",,"Y",
1068,"F","Junior",0,1,0,"BCS",,3,"DNM","Computer science and Health care","Reading, Volunteering, Baking","N","Y","Y","Y",,,
1069,"F","Junior",1,0,0,"BCS","UNCL",3,"DNM","Data analysis, Data mining, Machine learning, Health information, Bioinformatics","TV, Movie, Volunteering","N","Y","Y",,,"Y",
1070,"M","Junior",1,0,0,"BCS",,3,"DNM","Data mining, Machine learning, Artificial intelligence","Computer, Music, Rock climbing, Snowboarding, Running","N","Y","Y",,,,
1071,"M","Junior",0,1,0,"BUCS",,1,"DNM","web design, technical management, basic coding","learning new things, building and fixing things, communicating ","N","Y","Y",,,,
1072,"M","Junior",1,0,0,"BCS",,3,"DNM","Visual-audio compose music, General software development","Music, Video games","N","N","Y",,,,
1073,"M","Junior",0,1,0,"BSc","Y",0,"F","software construction, developing, networking","billiards; programming small apps; soccer","N","Y","Y",,,,
1074,"M","Junior",1,0,0,"BSc","Y",1,"DNM","software design, game design","reading, gaming, badminton","N","Y","Y","Y",,"Y",
1075,"M","Junior",1,0,0,"BSC",,0,"DNM","General CS","sports, playing, recording music, hiking, camping, gaming","N","Y","Y",,,,
1076,"M","Junior",0,0,1,"Bcomm/BCS",,1,"DNM","IT, programming","skiing, reading, hiking, video games","N","Y","Y","Y",,"Y",
1077,"F","Junior",0,1,0,"BCS",,3,"DNM","Ecological simulation modeling, Data analysis, Data mining, Machine learning, Graphics","Nature, Volleyball, Photography, Cooking","N","Y","Y",,"Y","Y",
1078,"F","Junior",0,1,0,"BSc","Y",1,"DNM","Arts, Sciences, Digital media","Photography, digital media, graphic design, computer programming, animation, sewing, biking, reading","N","Y","Y","Y","Y",,
1079,"M","Junior",1,0,0,"BSc","Y",1,"DNM","3D Animation, AI","Photography, Animation","N","Y",,"Y",,,
1080,"F","Junior",0,1,0,"BSc","Y",0,"DNM","programming, 3D graphics, minor in Fine Arts","UCM club on campus, drawing, running, social activities","N","Y",,,,"Y",
1081,"M","Junior",1,0,0,"BSc","Y",1,"DNM","web developer, programming, graphics (games)","programming, games, music","N","Y","Y","Y",,,
1082,"M","Junior",1,0,0,"BSc","Y",1,"DNM","Programming software","video games, biking, skiing, playing flute","N","Y","Y",,,,
1083,"M","Junior",0,1,0,"BSC",,1,"DNM","web-based services, process management software","voleyball, badminton, table tennis, aviaation, sky diving, surfing, coin collection, stamp collection","N","Y","Y",,,"Y",
1084,"M","Junior",1,0,0,"BCS",,3,"DNM","Game development, Graphic, 3D Math, AI","Board games, Film, Comics, Cooking","N","Y","Y",,,,
1085,"F","Junior",0,1,0,"BSc","Y",0,"DNM","software engineering","backpacking, yoga, genetics","N","Y",,,,"Y",
1086,"M","Junior",1,0,0,"BSc in CS",,0,"DNM","AI, Machine learning, High performance computing, Security, Design","Coding, Basketball, Guitar, Entrepreneurship, Technology","N","Y",,,,"Y",
1087,"M","Junior",1,0,0,"BSC",,1,"DNM","Programming","Gaming, reading, movies","N","N","Y","Y",,"Y",
1088,"M","Junior",1,0,0,"BSc","Y",1,"DNM","Game Programming, Programming, AI, UI, Security, Penetration Testing","Playing sports, reading books","N","Y","Y","Y","Y",,
1089,"M","Junior",1,0,0,"BSC",,1,"DNM","software engineering, algorithms&data structures, AI","music, robotics, volleyball, piano, badminton, video games, programming","N","Y",,"Y",,"Y",
1090,"M","Junior",0,1,0,"BSc","Y",1,"M","Programming, software design, graphics","computers, computer games, drawing, badminton","N","N","Y","Y",,,
1091,"M","Junior",0,0,1,"BSC",,1,"DNM","General CS","Programming, Chess","N","N",,,,"Y",
1092,"M","Junior",0,1,0,"BSC",,0,"DNM","software construction, algorithms, biotechnology","swimming, gaming, cell biology","N","Y",,"Y","Y",,
1093,"M","Junior",0,1,0,"BA in CS",,0,"DNM","Video game development, application development, web development, databases, open to new ideas","video games, photography, graphic design","Y",,"Y",,,"Y",
1094,"M","Junior",1,0,0,"BCS",,3,"DNM","Software engineering","Tango dancing, Sports","N","N","Y",,,,
1095,"M","Junior",1,0,0,"BASC/BSc","Y",1,"DNM",,"Programming, video games","N","Y","Y","Maybe","N",,
1096,"M","Junior",0,1,0,"BSC",,1,"DNM","Design","Web design, Game Development, Guitar, Tennis","N","Y",,"Y",,,"Start an IT related business"
1097,"M","Junior",0,0,1,"BSc","Y",1,"DNM","Computer Graphics and visualization","basketball, gold, playing piano, computer games","N","Y","Y","Y",,,
1098,"F","Junior",1,0,0,"BSC",,1,"DNM","Software Development, operating system development, database management","Reading, Cross country skiing, orienteering","N","N",,,,"Y",
1099,"M","Junior",1,0,0,"BSc","Y",0,"DNM","Networks, Mobile Application Development, AI, Programming languages","Hiking, learning different cultures, piano, music, traveling","N","Y","Y","Y",,,
1100,"M","Junior",1,0,0,"BSc","Y",1,"DNM","Programming languages, software product development","table tennis, football, cricket, reading detective novels, movies","N","Y","Y","Y",,,
1101,"M","Junior",1,0,0,"BSc",,0,"DNM","Software programming and development","Volleyball, tennis, video games, music instruments","N","Y","Y","Y","Y","Y",
1102,"M","Junior",0,1,0,"BCS",,3,"DNM","Software Development, Computing theory, Computer security","Romance languages, Movies, Running, Hiking","N","Y","Y","Y","Y",,
1103,"M","Junior",0,1,0,"BSc and Physics",,0,"F","Simulation, animation, numerical analysis","basketball, frisbee, hiking, swimming, volleyball","N","Y","Y","Y","Y",,
1104,"M","Junior",1,0,0,"BSC",,1,"DNM","Web Design, Software design, Computational theory","Improvisational Theatre, Comedy, Video games, movies, science, technology","N","Y",,,,"Y",
1105,"M","Junior",1,0,0,"BSc","Y",1,"DNM","Network security and algorithms","Sports, TV, Reading","N","Y","Y",,,,
1106,"M","Junior",0,0,1,"BSc","Y",0,"DNM","Theory, Algorithms, Software, Languages, Functional Programming","Doodling, Long-boarding, Watching Anime, Solving Puzzles","N","Y","Y","Y",,"Y",
1107,"M","Junior",1,0,0,"BSc","Y",0,"DNM",,"Sports, Martial Arts","N","Y",,,,"Y",
1108,"F","Junior",0,1,0,"BSc and Physics",,0,"DNM","Computer science application in physics","swimming","Y",,"Y","Not sure",,,
1109,"F","Junior",1,0,0,"BCS",,3,"DNM","Software engineering, Computer-human interaction, Artificial intelligence","Painting, Reading, Research, Dance, Yoga","N","Y","Y",,,,
1110,"M","Junior",0,1,0,"BSc","CPSC/UNCL",0,"DNM","Algorithm and Theory","Tennis, Music","N","Not sure","Y","Y",,,
1111,"M","Junior",1,0,0,"BSc","Y",0,"DNM","Video Game Design, Software Engineering, Robotics, AI","Ultimate Frisbee, Video Games, Reading, Movies","N","Y","Y",,,,
1112,"M","Junior",,,,"BUCS",,0,"DNM","software for businesses, user interface development","guitar, soccer, weightlifting, Volunteering interests: capital markets, technology start-ups","N","Y",,"Y",,,
1113,"M","Junior",1,0,0,"BCS",,3,"DNM","Graphics, Video game programming, Calculus","Creative writing, Books. Movies, Art, Swimming","N","Y","Y",,,,
1114,"M","Junior",0,0,1,"BSC",,0,"DNM","Coding","Soccer","N","Y",,,,"Y",
1115,"F","Junior",1,0,0,"BSc","Y",0,"F","Computer networks, software engineering, cloud computing","music, TV, food","N","Y","Y",,"Y","Y",
1116,"F","Junior",1,0,0,"BCS",,3,"DNM","Bioinformatics, Programming, Graphic design, Social media and education","Swimming, Traveling, Food","N","Y","Y","Y","Y",,
1117,"F","Junior",1,0,0,"BCS",,3,"DNM","Programming and HCI","Climbing, Reading","N","Y","Y",,,,
1118,"M","Junior",1,0,0,"BSC",,1,"DNM","Programmer, electronic game designed, film effect","Electronic game, pool, music","N","Y","Y","Y",,,
1119,"M","Junior",1,0,0,"BCS",,3,"DNM","Computational biology, Computational statistics, General programming","Video games, Reading, Music","N","Y","Y","Y","Y",,
1120,"F","Junior",1,0,0,"BSc","Y",0,"DNM","Software Design","Soccer","N","Y","Y",,,,
1121,"M","Junior",,,,"BSC",,1,"DNM","Software Engineering","Guitar, music, computer games","N",,,,,"Y",
1122,"F","Junior",1,0,0,"BCS",,3,"DNM","Phone/tablet apps. Web page publishing, E-commerce","Dr. Who, BBC Sherlock, Origami, Food, World of Warcraft","N","Y","Y",,,,
1123,"M","Junior",1,0,0,"BUCS",,0,"DNM","BUCS, Business IT","Entrepreneurship, business IT, automobiles, racquet sports, snowboarding and rockclimbing","N","Y","Y","Y",,,
1124,"M","Junior",1,0,0,"BSc","Y",1,"DNM","Software Engineering, AI, Algorithms","Graphic design, Biking, Rubik's cube, Music (Guitar, Flute)","N","Y",,,,"Y",
1125,"M","Junior",0,0,1,"BSC",,1,"DNM","Combined with immunology and microbiology","Computer, Animation","N","Y","Y","Y",,,
1126,"F","Junior",1,0,0,"BCS",,3,"DNM","Design, Machine learning, AI","Painting, sports, Puzzle games, Handcraft & design","N","Y","Y","Y","(maybe)",,
1127,"M","Junior",0,1,0,"BSC",,1,"DNM","Programming, Computer graphics, Artificial Intelligence","Computer, Basketball, Soccer, Movies, TV, Books","N","Y","Y","Y",,,
1128,"M","Junior",1,0,0,"BCS",,3,"DNM","Statistics, Data mining","Tennis, Poker","N","Y","Y","Y",,,
1129,"M","Junior",1,0,0,"BSc","Y",1,"DNM","Computer security, algorithms, data structures, AI, software engineering","computer strategy games, volleyball, soccer, ultimate frisbee, programming","N","Y","Y",,"Y",,
1130,"M","Junior",1,0,0,"BSC",,1,"DNM","software engineering, algorithm design and implementation, AI, computer graphics/rendering, human-computer interaction, concurrency, programming language design and theory","planning, developing large scale software projects; community development and management; making video games, writing","N","Y","Y",,,,
1131,"M","Junior",0,1,0,"BSc","Y",0,"DNM","human-computer interaction","violin, soccer, ruby, dogs, appealing to crowds with creative projects","N","Y","Y","Y",,"Y",
1132,"M","Junior",0,1,0,"BSc","Y",1,"DNM","programming","video games, taking walks, playing sports with friends","N","Y",,,,"Y",
1133,"M","Junior",1,0,0,"BCS",,3,"DNM","software development","music, basketball, outdoors activities, travelling","N","Y",,,,"Y",
1134,"M","Junior",1,0,0,"BCS",,3,"DNM","network security and threat prevention","politics","N","Y",,,,,
1135,"M","Junior",1,0,0,"BCS",,3,"DNM","PC, Mobile, Console game development, graphics and animation, AI, web development, cloud technologies, User Interface design, information security","Martial Arts, Music, occult, archery, rock-climbing, performance driving, gaming, yoga, chinese tea ceremony, meditation","N","Y","Y",,,"Y",
1136,"M","Junior",1,0,0,"BSc in CS",,0,"DNM","Algorithm design, AI","Chess","N","Y","Y",,,,
1137,"d","Junior",0,1,0,"BCS and B.Comm as first degree",,3,"DNM","web development, mobile development, location based services","snowboarding, biking, hiking",,"N","y","y",,,"Find a job in IT Field, get experience, start own company"
1138,"F","Junior",1,0,0,"Bsc in CS and Math",,0,"M","Graphic design, web developing","swimming, drinking coffee, drawing","N","N","Y","Y","Y",,
1139,"F","Junior",0,0,1,"BCS",,3,"DNM","natural language processing, AI, Data Analysis","Hiking, travel, board games, writing, linguistics, watching television","N","Y","Y",,,"Y",
1140,"M","Junior",0,1,0,"BCS",,3,"DNM","software/App Development, security/risk, computing in business","travelling, watching movies, music, tennis, spending time with friends and family","N","Y","Y",,,,
1141,"M","Junior",0,1,0,"BCS",,3,"DNM","software engineering, software architecture, web and app based development","life sciences, web design, sports, travel, music, playing","N","Y","Y",,,,
1142,"M","Junior",1,0,0,"BCS",,3,"DNM","AI, HCI, computer vision","cinematography, film production, photography, video games, chemistry, nuclear sciecne, VFx","N","Y",,"Y","Y",,
1143,"M","Junior",1,0,0,"BSc in CS",,0,"DNM","Data Analysis","tennis, soccer","N","Y","Y",,,"Y",
1144,"M","Junior",1,0,0,"BSc in CS",,0,"DNM","HCI, animation/game design, program design/management","filmmaking, graphic design, writing, drawing",,,,,,"Y",
1145,"M","Junior",0,1,0,"BSc in CS",,0,"DNM","softtware","snowboarding, video games, movies/tv shows","Y",,"Y","Y",,,
1146,"M","Junior",1,0,0,"BCS",,3,"DNM","Web development, mobile, programming web applications","graphic design, music, photography/video, startups","N","Y","Y",,,,
1147,"M","Junior",,,,"BCS",,3,"DNM","OS (Linux), Networking and Security, low level hardware integration (C, assembly)","music composing, soccer, biking","N","Y","Y",,,,
1148,"F","Junior",0,0,1,"BSc in CS",,1,"N","exploring different areas","drawing, writing","N","Y","Y",,,,
1149,"M","Junior",0,1,0,"Bsc in CS",,0,"DNM","graphics, database, network","helping people, playing tennis, listen to classical music, read books","N","Y","Y",,"Y",,
1150,"M","Junior",1,0,0,"BSc in CS",,0,"M","software engineering","quality time with friends","N","Y","Y",,,,
1151,"M","Junior",1,0,0,"BCS",,3,"DNM","graphics, software/game development, programming, AI","sports (hockey, soccer, yoga); technology, gaming, reading","N","undecided","Y",,,,
1152,"M","Junior",1,1,0,"BSC",,1,"DNM","Computational Physics, software development, algorithms","developing physics simulations, web applications, mobile apps, quantum field theory texts, music","N","Y",,"Y","Y",,
1153,"F","Junior",0,1,1,"BCOMM",,1,"DNM","General CS","Sports","N","N","Y",,,,
1154,"M","Junior",1,1,0,"BSc","Y",1,"DNM","Programming","table tennis, video games","N","Y","Y","Y",,,
1155,"M","Junior",1,0,0,"BSc and Statistics",,0,"DNM","programming","basketball, swimming","N","Y","Y","Y",,,
1156,"M","Junior",1,0,1,"BSC",,1,"DNM","programming, design","PC games","N","N","Y",,,,
1157,"F","Junior",1,0,0,"BSc in CS",,0,"DNM","Java coding, co-op","swimming, movies, animation",,,"Y",,,,
